_year,_category,_parsed_date,company,subject,description,heading,title,announcementType,type,date,announcementDate,publishedDate,createdDate,id,announcementId,announcementCategory,category,remarks,_date_field
2023,Buy-In Board Announcements,2023-06-19 13:06:48,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,19 Jun 2023 01:06:48 PM,17253,19960,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,New Listings Announcements,2023-06-15 17:38:36,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,15 Jun 2023 05:38:36 PM,17214,19901,NEW LISTINGS RELATED NOTICES,59,"UB FINANCE COMPANY LIMITED (“THE COMPANY”) – INITIAL PUBLIC OFFERING OF ORDINARY VOTING 
SHARES",createdDate
2023,Buy-In Board Announcements,2023-06-15 13:08:41,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,15 Jun 2023 01:08:41 PM,17206,19889,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,Buy-In Board Announcements,2023-05-24 13:06:07,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,24 May 2023 01:06:07 PM,16889,19528,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,Buy-In Board Announcements,2023-04-24 13:09:20,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,24 Apr 2023 01:09:20 PM,16648,19223,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,Buy-In Board Announcements,2023-03-28 12:16:07,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,28 Mar 2023 12:16:07 PM,16357,18919,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,Buy-In Board Announcements,2023-03-24 12:11:58,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,24 Mar 2023 12:11:58 PM,16332,18875,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,Buy-In Board Announcements,2023-03-20 12:11:39,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,20 Mar 2023 12:11:39 PM,16309,18847,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,Buy-In Board Announcements,2023-03-16 12:16:55,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,16 Mar 2023 12:16:55 PM,16286,18829,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,Buy-In Board Announcements,2023-03-15 12:15:56,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,15 Mar 2023 12:15:56 PM,16272,18816,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,Buy-In Board Announcements,2023-03-09 12:16:16,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,09 Mar 2023 12:16:16 PM,16217,18741,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,Buy-In Board Announcements,2023-03-03 12:08:54,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,03 Mar 2023 12:08:54 PM,16175,18681,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,Buy-In Board Announcements,2023-02-22 12:42:31,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,22 Feb 2023 12:42:31 PM,16094,18595,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,Buy-In Board Announcements,2023-02-15 12:16:36,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,15 Feb 2023 12:16:36 PM,16027,18510,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,Buy-In Board Announcements,2023-02-07 12:10:11,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,07 Feb 2023 12:10:11 PM,15979,18455,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,Buy-In Board Announcements,2023-02-02 12:14:14,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,02 Feb 2023 12:14:14 PM,15953,18425,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,Buy-In Board Announcements,2023-02-01 12:10:55,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,01 Feb 2023 12:10:55 PM,15942,18411,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,Buy-In Board Announcements,2023-01-30 12:12:42,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,30 Jan 2023 12:12:42 PM,15911,18369,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,Buy-In Board Announcements,2023-01-24 12:09:15,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,24 Jan 2023 12:09:15 PM,15845,18309,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,Buy-In Board Announcements,2023-01-19 12:16:41,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,19 Jan 2023 12:16:41 PM,15784,18226,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,Buy-In Board Announcements,2023-01-13 12:11:46,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,13 Jan 2023 12:11:46 PM,15744,18189,BUY-IN BOARD DISCLOSURES,60,,createdDate
2023,Buy-In Board Announcements,2023-01-09 12:09:16,TRADING AND MARKET SURVEILLANCE,,,,,,,,,,09 Jan 2023 12:09:16 PM,15713,18149,BUY-IN BOARD DISCLOSURES,60,,createdDate
